counter,seconds,micro seconds,local clock [us]
0,1627359180,461837,60001
1,1627359180,962108,120002
2,1627359181,465055,180003
3,1627359181,969369,240004
4,1627359182,470522,300005
5,1627359182,974939,360006
6,1627359183,475241,420007
7,1627359183,980211,480008
8,1627359184,485326,540009
9,1627359184,988423,600010
10,1627359185,493552,660011
11,1627359185,995157,720012
12,1627359186,495208,780013
13,1627359186,995264,840014
14,1627359187,495988,900015
15,1627359188,1060,960016
16,1627359188,505922,1020017
17,1627359189,11057,1080018
18,1627359189,515980,1140019
19,1627359190,16054,1200020
20,1627359190,521144,1260021
21,1627359191,23775,1320022
22,1627359191,524085,1380023
23,1627359192,24221,1440024
24,1627359192,524443,1500025
25,1627359193,29559,1560026
26,1627359193,533198,1620027
27,1627359194,33528,1680028
28,1627359194,534405,1740029
29,1627359195,38273,1800030
30,1627359195,539883,1860031
31,1627359196,41094,1920032
32,1627359196,546121,1980033
33,1627359197,50445,2040034
34,1627359197,550764,2100035
35,1627359198,55792,2160036
36,1627359198,558204,2220037
37,1627359199,59271,2280038
38,1627359199,562693,2340039
39,1627359200,63693,2400040
40,1627359200,566965,2460041
41,1627359201,71440,2520042
42,1627359201,572864,2580043
43,1627359202,78017,2640044
44,1627359202,578439,2700045
45,1627359203,79983,2760046
46,1627359203,585002,2820047
47,1627359204,86392,2880048
48,1627359204,591410,2940049
49,1627359205,93132,3000050
50,1627359205,594116,3060051
51,1627359206,94397,3120052
52,1627359206,599107,3180053
53,1627359207,99231,3240054
54,1627359207,599924,3300055
55,1627359208,103598,3360056
56,1627359208,607801,3420057
57,1627359209,108745,3480058
58,1627359209,612746,3540059
59,1627359210,117775,3600060
60,1627359210,622129,3660061
61,1627359211,124507,3720062
62,1627359211,628497,3780063
63,1627359212,129360,3840064
64,1627359212,631044,3900065
65,1627359213,135020,3960066
66,1627359213,636117,4020067
67,1627359214,140792,4080068
68,1627359214,645884,4140069
69,1627359215,155355,4200070
70,1627359215,657906,4260071
71,1627359216,160992,4320072
72,1627359216,666076,4380073
73,1627359217,167199,4440074
74,1627359217,668130,4500075
75,1627359218,171222,4560076
76,1627359218,676213,4620077
77,1627359219,179407,4680078
78,1627359219,680512,4740079
79,1627359220,184832,4800080
80,1627359220,686144,4860081
81,1627359221,188885,4920082
82,1627359221,692085,4980083
83,1627359222,192685,5040084
84,1627359222,694012,5100085
85,1627359223,196578,5160086
86,1627359223,700813,5220087
87,1627359224,206000,5280088
88,1627359224,710608,5340089
89,1627359225,215733,5400090
90,1627359225,715950,5460091
91,1627359226,216324,5520092
92,1627359226,721594,5580093
93,1627359227,225259,5640094
94,1627359227,725695,5700095
95,1627359228,229489,5760096
96,1627359228,734469,5820097
97,1627359229,234745,5880098
98,1627359229,734841,5940099
99,1627359230,237014,6000100
100,1627359230,739461,6060101
101,1627359231,242345,6120102
102,1627359231,746842,6180103
103,1627359232,248546,6240104
104,1627359232,753359,6300105
105,1627359233,258496,6360106
106,1627359233,761688,6420107
107,1627359234,266870,6480108
108,1627359234,769087,6540109
109,1627359235,270611,6600110
110,1627359235,772930,6660111
111,1627359236,278076,6720112
112,1627359236,780130,6780113
113,1627359237,280201,6840114
114,1627359237,782435,6900115
115,1627359238,287591,6960116
116,1627359238,788726,7020117
117,1627359239,293768,7080118
118,1627359239,802401,7140119
119,1627359240,303628,7200120
120,1627359240,803727,7260121
121,1627359241,304323,7320122
122,1627359241,809042,7380123
123,1627359242,314149,7440124
124,1627359242,817276,7500125
125,1627359243,317928,7560126
126,1627359243,821631,7620127
127,1627359244,326463,7680128
128,1627359244,831609,7740129
129,1627359245,336699,7800130
130,1627359245,841916,7860131
131,1627359246,346891,7920132
132,1627359246,847254,7980133
133,1627359247,352368,8040134
134,1627359247,855135,8100135
135,1627359248,355324,8160136
136,1627359248,860422,8220137
137,1627359249,360652,8280138
138,1627359249,864620,8340139
139,1627359250,369859,8400140
140,1627359250,874784,8460141
141,1627359251,377145,8520142
142,1627359251,882283,8580143
143,1627359252,383995,8640144
144,1627359252,889195,8700145
145,1627359253,389894,8760146
146,1627359253,893333,8820147
147,1627359254,398441,8880148
148,1627359254,903290,8940149
149,1627359255,406025,9000150
150,1627359255,908211,9060151
151,1627359256,412288,9120152
152,1627359256,914379,9180153
153,1627359257,416085,9240154
154,1627359257,920056,9300155
155,1627359258,421166,9360156
156,1627359258,921522,9420157
157,1627359259,422068,9480158
158,1627359259,927080,9540159
159,1627359260,429480,9600160
160,1627359260,930534,9660161
161,1627359261,432040,9720162
162,1627359261,933665,9780163
163,1627359262,436604,9840164
164,1627359262,936711,9900165
165,1627359263,437579,9960166
166,1627359263,942602,10020167
167,1627359264,443967,10080168
168,1627359264,945946,10140169
169,1627359265,448473,10200170
170,1627359265,952219,10260171
171,1627359266,452489,10320172
172,1627359266,953528,10380173
173,1627359267,455363,10440174
174,1627359267,957769,10500175
175,1627359268,460184,10560176
176,1627359268,960239,10620177
177,1627359269,460541,10680178
178,1627359269,965099,10740179
179,1627359270,470135,10800180
180,1627359270,971478,10860181
181,1627359271,471825,10920182
182,1627359271,972817,10980183
183,1627359272,472846,11040184
184,1627359272,977902,11100185
185,1627359273,479276,11160186
186,1627359273,984266,11220187
187,1627359274,489294,11280188
188,1627359274,994308,11340189
189,1627359275,497768,11400190
190,1627359275,998613,11460191
191,1627359276,503058,11520192
192,1627359277,8104,11580193
193,1627359277,513140,11640194
194,1627359278,17222,11700195
195,1627359278,517969,11760196
196,1627359279,22716,11820197
197,1627359279,527750,11880198
