counter,seconds,micro seconds,local clock [ns]
0,1627160404,603644,1450002
1,1627160404,803797,1500003
2,1627160405,9009,1550004
3,1627160405,214422,1600005
4,1627160405,418346,1650006
5,1627160405,620170,1700007
6,1627160405,823696,1750008
7,1627160406,27374,1800009
8,1627160406,229918,1850010
9,1627160406,432693,1900011
10,1627160406,635458,1950012
11,1627160406,837524,2000013
12,1627160407,41599,2050014
13,1627160407,246775,2100015
14,1627160407,451948,2150016
15,1627160407,657157,2200017
16,1627160407,857657,2250018
17,1627160408,59530,2300019
18,1627160408,259711,2350020
19,1627160408,463102,2400021
20,1627160408,668234,2450022
21,1627160408,869673,2500023
22,1627160409,75420,2550024
23,1627160409,277781,2600025
24,1627160409,482148,2650026
25,1627160409,687326,2700027
26,1627160409,891395,2750028
27,1627160410,92174,2800029
28,1627160410,294027,2850030
29,1627160410,502917,2900031
30,1627160410,705611,2950032
31,1627160410,906228,3000033
32,1627160411,109587,3050034
33,1627160411,313865,3100035
34,1627160411,518762,3150036
35,1627160411,722000,3200037
36,1627160411,927087,3250038
37,1627160412,130897,3300039
38,1627160412,332968,3350040
39,1627160412,538213,3400041
40,1627160412,739547,3450042
41,1627160412,940521,3500043
42,1627160413,143263,3550044
43,1627160413,348147,3600045
44,1627160413,553320,3650046
45,1627160413,756647,3700047
46,1627160413,957893,3750048
47,1627160414,159170,3800049
48,1627160414,361282,3850050
49,1627160414,566536,3900051
50,1627160414,766904,3950052
51,1627160414,967767,4000053
52,1627160415,172799,4050054
53,1627160415,374374,4100055
54,1627160415,577307,4150056
55,1627160415,777558,4200057
56,1627160415,982721,4250058
57,1627160416,184722,4300059
58,1627160416,389882,4350060
59,1627160416,595118,4400061
60,1627160416,799787,4450062
61,1627160417,4977,4500063
62,1627160417,208394,4550064
63,1627160417,409867,4600065
64,1627160417,615042,4650066
65,1627160417,816930,4700067
66,1627160418,17110,4750068
67,1627160418,220573,4800069
68,1627160418,425676,4850070
69,1627160418,630762,4900071
70,1627160418,831031,4950072
71,1627160419,31127,5000073
72,1627160419,233349,5050074
73,1627160419,435458,5100075
74,1627160419,635647,5150076
75,1627160419,840835,5200077
76,1627160420,43272,5250078
77,1627160420,247677,5300079
78,1627160420,451729,5350080
