counter,seconds,micro seconds,local clock [ns]
0,1627160407,451979,2150004
1,1627160407,657127,2200005
2,1627160407,857248,2250006
3,1627160408,59490,2300007
4,1627160408,259706,2350008
5,1627160408,463075,2400009
6,1627160408,668259,2450010
7,1627160408,869657,2500011
8,1627160409,75165,2550012
9,1627160409,275367,2600013
10,1627160409,476378,2650014
11,1627160409,676497,2700015
12,1627160409,876855,2750016
13,1627160410,82016,2800017
14,1627160410,282378,2850018
15,1627160410,502782,2900019
16,1627160410,705548,2950020
17,1627160410,906248,3000021
18,1627160411,109630,3050022
19,1627160411,313865,3100023
20,1627160411,518768,3150024
21,1627160411,722007,3200025
22,1627160411,927067,3250026
23,1627160412,130910,3300027
24,1627160412,332986,3350028
25,1627160412,538211,3400029
26,1627160412,739529,3450030
27,1627160412,940552,3500031
28,1627160413,143263,3550032
29,1627160413,348147,3600033
30,1627160413,553341,3650034
31,1627160413,756647,3700035
32,1627160413,957841,3750036
33,1627160414,159157,3800037
34,1627160414,361306,3850038
35,1627160414,566503,3900039
36,1627160414,766880,3950040
37,1627160414,967667,4000041
38,1627160415,172780,4050042
39,1627160415,374394,4100043
40,1627160415,577363,4150044
41,1627160415,777585,4200045
42,1627160415,982741,4250046
43,1627160416,184738,4300047
44,1627160416,389907,4350048
45,1627160416,595117,4400049
46,1627160416,799799,4450050
47,1627160417,5012,4500051
48,1627160417,208368,4550052
49,1627160417,409821,4600053
50,1627160417,615032,4650054
51,1627160417,816922,4700055
52,1627160418,17098,4750056
53,1627160418,220546,4800057
54,1627160418,425666,4850058
55,1627160418,630749,4900059
56,1627160418,831020,4950060
57,1627160419,31115,5000061
58,1627160419,233328,5050062
59,1627160419,435446,5100063
60,1627160419,635651,5150064
61,1627160419,840855,5200065
62,1627160420,43317,5250066
63,1627160420,247684,5300067
64,1627160420,451745,5350068
65,1627160420,655858,5400069
66,1627160420,860744,5450070
67,1627160421,64048,5500071
68,1627160421,265263,5550072
69,1627160421,468265,5600073
70,1627160421,668401,5650074
71,1627160421,873189,5700075
72,1627160422,75448,5750076
73,1627160422,279967,5800077
74,1627160422,481772,5850078
75,1627160422,682421,5900079
76,1627160422,883590,5950080
77,1627160423,87943,6000081
78,1627160423,290978,6050082
79,1627160423,493128,6100083
80,1627160423,693480,6150084
81,1627160423,894363,6200085
82,1627160424,95509,6250086
83,1627160424,299745,6300087
84,1627160424,504223,6350088
85,1627160424,707938,6400089
86,1627160424,912704,6450090
87,1627160425,113414,6500091
88,1627160425,317592,6550092
89,1627160425,517775,6600093
90,1627160425,720907,6650094
91,1627160425,926050,6700095
92,1627160426,129938,6750096
93,1627160426,330071,6800097
94,1627160426,530875,6850098
95,1627160426,731095,6900099
96,1627160426,935091,6950100
97,1627160427,136543,7000101
98,1627160427,338027,7050102
99,1627160427,538838,7100103
100,1627160427,743974,7150104
101,1627160427,945752,7200105
102,1627160428,146668,7250106
103,1627160428,350295,7300107
104,1627160428,551679,7350108
105,1627160428,755494,7400109
106,1627160428,959429,7450110
107,1627160429,159505,7500111
108,1627160429,360629,7550112
109,1627160429,561708,7600113
110,1627160429,761942,7650114
111,1627160429,970294,7700115
112,1627160430,171504,7750116
113,1627160430,371984,7800117
114,1627160430,572434,7850118
115,1627160430,776898,7900119
116,1627160430,978196,7950120
117,1627160431,181109,8000121
118,1627160431,383151,8050122
119,1627160431,583968,8100123
120,1627160431,790301,8150124
121,1627160431,990978,8200125
122,1627160432,195927,8250126
123,1627160432,399120,8300127
124,1627160432,600332,8350128
125,1627160432,805474,8400129
126,1627160433,26169,8450130
127,1627160433,230868,8500131
128,1627160433,431015,8550132
129,1627160433,632298,8600133
130,1627160433,832455,8650134
131,1627160434,35234,8700135
132,1627160434,236213,8750136
133,1627160434,439163,8800137
134,1627160434,639336,8850138
135,1627160434,839454,8900139
136,1627160435,40537,8950140
137,1627160435,240812,9000141
138,1627160435,445972,9050142
139,1627160435,649157,9100143
140,1627160435,856541,9150144
141,1627160436,57808,9200145
142,1627160436,258360,9250146
143,1627160436,458621,9300147
144,1627160436,659824,9350148
145,1627160436,863917,9400149
146,1627160437,67743,9450150
147,1627160437,270163,9500151
148,1627160437,473144,9550152
149,1627160437,673722,9600153
150,1627160437,875237,9650154
151,1627160438,76911,9700155
152,1627160438,280183,9750156
153,1627160438,480591,9800157
154,1627160438,681066,9850158
155,1627160438,885901,9900159
156,1627160439,88144,9950160
157,1627160439,290452,10000161
158,1627160439,494061,10050162
159,1627160439,697694,10100163
160,1627160439,901569,10150164
161,1627160440,103572,10200165
162,1627160440,306085,10250166
163,1627160440,507157,10300167
164,1627160440,707873,10350168
165,1627160440,909208,10400169
166,1627160441,109416,10450170
167,1627160441,309713,10500171
168,1627160441,513707,10550172
169,1627160441,714047,10600173
170,1627160441,919228,10650174
171,1627160442,124359,10700175
172,1627160442,326221,10750176
173,1627160442,526508,10800177
174,1627160442,726827,10850178
175,1627160442,929814,10900179
176,1627160443,134531,10950180
177,1627160443,339720,11000181
178,1627160443,543372,11050182
179,1627160443,747145,11100183
180,1627160443,947196,11150184
181,1627160444,151525,11200185
182,1627160444,353321,11250186
183,1627160444,558464,11300187
184,1627160444,760663,11350188
185,1627160444,960768,11400189
186,1627160445,160908,11450190
187,1627160445,361612,11500191
188,1627160445,561727,11550192
189,1627160445,765879,11600193
190,1627160445,966596,11650194
191,1627160446,171783,11700195
192,1627160446,375835,11750196
193,1627160446,580703,11800197
