counter,seconds,micro seconds,local clock [us]
0,1627108287,718283,1250001
1,1627108287,921417,1300002
2,1627108288,124632,1350003
3,1627108288,325393,1400004
4,1627108288,529163,1450005
5,1627108288,732440,1500006
6,1627108288,937359,1550007
7,1627108289,142506,1600008
8,1627108289,347335,1650009
9,1627108289,552257,1700010
10,1627108289,756796,1750011
11,1627108289,958788,1800012
12,1627108290,163359,1850013
13,1627108290,366383,1900014
14,1627108290,568963,1950015
15,1627108290,771633,2000016
16,1627108290,973962,2050017
17,1627108291,183837,2100018
18,1627108291,386824,2150019
19,1627108291,591110,2200020
20,1627108291,793264,2250021
21,1627108291,996570,2300022
22,1627108292,197740,2350023
23,1627108292,397952,2400024
24,1627108292,609298,2450025
25,1627108292,813886,2500026
26,1627108293,16320,2550027
27,1627108293,221300,2600028
28,1627108293,423916,2650029
29,1627108293,626410,2700030
30,1627108293,827381,2750031
31,1627108294,31954,2800032
32,1627108294,236597,2850033
33,1627108294,441147,2900034
34,1627108294,646195,2950035
35,1627108294,850053,3000036
36,1627108295,51597,3050037
37,1627108295,256653,3100038
38,1627108295,460141,3150039
39,1627108295,665049,3200040
40,1627108295,868497,3250041
41,1627108296,72529,3300042
42,1627108296,276014,3350043
43,1627108296,480185,3400044
44,1627108296,683394,3450045
45,1627108296,885573,3500046
46,1627108297,86455,3550047
47,1627108297,289371,3600048
48,1627108297,493882,3650049
49,1627108297,697053,3700050
50,1627108297,902099,3750051
51,1627108298,105919,3800052
52,1627108298,310772,3850053
53,1627108298,515605,3900054
54,1627108298,719734,3950055
55,1627108298,921960,4000056
56,1627108299,124802,4050057
57,1627108299,329918,4100058
58,1627108299,531584,4150059
59,1627108299,737073,4200060
60,1627108299,941628,4250061
61,1627108300,144401,4300062
62,1627108300,351631,4350063
63,1627108300,553614,4400064
64,1627108300,759150,4450065
65,1627108300,961374,4500066
66,1627108301,163980,4550067
67,1627108301,367928,4600068
68,1627108301,571357,4650069
69,1627108301,775334,4700070
70,1627108301,978295,4750071
71,1627108302,186528,4800072
72,1627108302,387853,4850073
73,1627108302,591834,4900074
74,1627108302,796498,4950075
75,1627108302,998993,5000076
76,1627108303,200318,5050077
77,1627108303,403376,5100078
78,1627108303,606428,5150079
79,1627108303,809605,5200080
80,1627108304,11349,5250081
81,1627108304,215893,5300082
82,1627108304,416671,5350083
83,1627108304,617160,5400084
84,1627108304,817823,5450085
85,1627108305,22837,5500086
86,1627108305,226129,5550087
87,1627108305,430445,5600088
88,1627108305,634107,5650089
89,1627108305,834514,5700090
90,1627108306,38837,5750091
91,1627108306,242444,5800092
92,1627108306,445142,5850093
93,1627108306,648586,5900094
94,1627108306,853731,5950095
95,1627108307,56705,6000096
96,1627108307,259341,6050097
97,1627108307,463358,6100098
98,1627108307,665906,6150099
99,1627108307,867268,6200100
100,1627108308,71551,6250101
101,1627108308,274925,6300102
102,1627108308,477127,6350103
103,1627108308,681787,6400104
104,1627108308,886772,6450105
105,1627108309,88551,6500106
106,1627108309,289569,6550107
107,1627108309,492318,6600108
108,1627108309,695990,6650109
109,1627108309,897757,6700110
110,1627108310,99826,6750111
111,1627108310,302133,6800112
112,1627108310,502292,6850113
113,1627108310,706116,6900114
114,1627108310,908735,6950115
115,1627108311,112307,7000116
116,1627108311,314603,7050117
117,1627108311,518790,7100118
118,1627108311,720080,7150119
119,1627108311,923236,7200120
120,1627108312,124996,7250121
121,1627108312,329310,7300122
122,1627108312,532081,7350123
123,1627108312,733025,7400124
124,1627108312,935289,7450125
125,1627108313,135556,7500126
126,1627108313,335632,7550127
127,1627108313,535976,7600128
128,1627108313,740426,7650129
