counter,seconds,micro seconds,local clock [us]
0,1627141674,954937,2350002
1,1627141675,58393,2400003
2,1627141675,160301,2450004
3,1627141675,263153,2500005
4,1627141675,368109,2550006
5,1627141675,472274,2600007
6,1627141675,572494,2650008
7,1627141675,674745,2700009
8,1627141675,779357,2750010
9,1627141675,883929,2800011
10,1627141675,988089,2850012
11,1627141676,90577,2900013
12,1627141676,191646,2950014
13,1627141676,292269,3000015
14,1627141676,395169,3050016
15,1627141676,498758,3100017
16,1627141676,603506,3150018
17,1627141676,707967,3200019
18,1627141676,812721,3250020
19,1627141676,916995,3300021
20,1627141677,21467,3350022
21,1627141677,124465,3400023
22,1627141677,224678,3450024
23,1627141677,325352,3500025
24,1627141677,428302,3550026
25,1627141677,532278,3600027
26,1627141677,636717,3650028
27,1627141677,741373,3700029
28,1627141677,845595,3750030
29,1627141677,950113,3800031
30,1627141678,54089,3850032
31,1627141678,157912,3900033
32,1627141678,258332,3950034
33,1627141678,358862,4000035
34,1627141678,461037,4050036
35,1627141678,565498,4100037
36,1627141678,670041,4150038
37,1627141678,774636,4200039
38,1627141678,879353,4250040
39,1627141678,983505,4300041
40,1627141679,88034,4350042
41,1627141679,192407,4400043
42,1627141679,296971,4450044
43,1627141679,401414,4500045
44,1627141679,506002,4550046
45,1627141679,610461,4600047
46,1627141679,715297,4650048
47,1627141679,819430,4700049
48,1627141679,923864,4750050
49,1627141680,28845,4800051
50,1627141680,129165,4850052
51,1627141680,231073,4900053
52,1627141680,336268,4950054
53,1627141680,437117,5000055
54,1627141680,537351,5050056
55,1627141680,642215,5100057
56,1627141680,742577,5150058
57,1627141680,843172,5200059
58,1627141680,945266,5250060
59,1627141681,50094,5300061
60,1627141681,154446,5350062
61,1627141681,259169,5400063
62,1627141681,363653,5450064
63,1627141681,468017,5500065
64,1627141681,572456,5550066
65,1627141681,676908,5600067
66,1627141681,781635,5650068
67,1627141681,885999,5700069
68,1627141681,990539,5750070
69,1627141682,94977,5800071
70,1627141682,195491,5850072
71,1627141682,295835,5900073
72,1627141682,402862,5950074
73,1627141682,503754,6000075
74,1627141682,605959,6050076
75,1627141682,710788,6100077
76,1627141682,815354,6150078
77,1627141682,919272,6200079
78,1627141683,23926,6250080
79,1627141683,130632,6300081
80,1627141683,230882,6350082
81,1627141683,334896,6400083
82,1627141683,435349,6450084
83,1627141683,537653,6500085
84,1627141683,638954,6550086
85,1627141683,743934,6600087
86,1627141683,848088,6650088
87,1627141683,952544,6700089
88,1627141684,57036,6750090
89,1627141684,161450,6800091
90,1627141684,266067,6850092
91,1627141684,370524,6900093
92,1627141684,475013,6950094
93,1627141684,579454,7000095
94,1627141684,681774,7050096
95,1627141684,784604,7100097
96,1627141684,886683,7150098
97,1627141684,988318,7200099
98,1627141685,93288,7250100
99,1627141685,197203,7300101
100,1627141685,299659,7350102
101,1627141685,403846,7400103
102,1627141685,508297,7450104
103,1627141685,610428,7500105
104,1627141685,712894,7550106
105,1627141685,815277,7600107
106,1627141685,917592,7650108
107,1627141686,19175,7700109
108,1627141686,123664,7750110
109,1627141686,228139,7800111
110,1627141686,332703,7850112
111,1627141686,437348,7900113
112,1627141686,541896,7950114
113,1627141686,646523,8000115
114,1627141686,750336,8050116
115,1627141686,855139,8100117
116,1627141686,959554,8150118
117,1627141687,63945,8200119
118,1627141687,168481,8250120
119,1627141687,272908,8300121
120,1627141687,377485,8350122
121,1627141687,481965,8400123
122,1627141687,583009,8450124
123,1627141687,683940,8500125
124,1627141687,787162,8550126
125,1627141687,887783,8600127
126,1627141687,992772,8650128
127,1627141688,98159,8700129
128,1627141688,202553,8750130
129,1627141688,306263,8800131
130,1627141688,410859,8850132
131,1627141688,515210,8900133
132,1627141688,617813,8950134
133,1627141688,722999,9000135
134,1627141688,824032,9050136
135,1627141688,927061,9100137
136,1627141689,30163,9150138
137,1627141689,130559,9200139
138,1627141689,235219,9250140
139,1627141689,335852,9300141
140,1627141689,439468,9350142
141,1627141689,543181,9400143
142,1627141689,646547,9450144
143,1627141689,749545,9500145
144,1627141689,854425,9550146
145,1627141689,956327,9600147
146,1627141690,56530,9650148
147,1627141690,158220,9700149
148,1627141690,261195,9750150
149,1627141690,364090,9800151
150,1627141690,465699,9850152
151,1627141690,570332,9900153
152,1627141690,674789,9950154
153,1627141690,779372,10000155
154,1627141690,883979,10050156
155,1627141690,988239,10100157
156,1627141691,93394,10150158
157,1627141691,197506,10200159
158,1627141691,302236,10250160
159,1627141691,406224,10300161
160,1627141691,510629,10350162
161,1627141691,615161,10400163
162,1627141691,719764,10450164
163,1627141691,824134,10500165
164,1627141691,928676,10550166
165,1627141692,33417,10600167
166,1627141692,139251,10650168
167,1627141692,239717,10700169
168,1627141692,340055,10750170
169,1627141692,443382,10800171
170,1627141692,548427,10850172
171,1627141692,650004,10900173
172,1627141692,752970,10950174
173,1627141692,857360,11000175
174,1627141692,961913,11050176
175,1627141693,66395,11100177
176,1627141693,170961,11150178
177,1627141693,275362,11200179
178,1627141693,379807,11250180
179,1627141693,481930,11300181
180,1627141693,582066,11350182
181,1627141693,682323,11400183
182,1627141693,786329,11450184
183,1627141693,890613,11500185
184,1627141693,995165,11550186
185,1627141694,97842,11600187
186,1627141694,199375,11650188
187,1627141694,301537,11700189
188,1627141694,403804,11750190
189,1627141694,506145,11800191
190,1627141694,610594,11850192
191,1627141694,715011,11900193
192,1627141694,819939,11950194
193,1627141694,924358,12000195
194,1627141695,28548,12050196
195,1627141695,133047,12100197
196,1627141695,237554,12150198
197,1627141695,341889,12200199
198,1627141695,446802,12250200
199,1627141695,548963,12300201
200,1627141695,649477,12350202
201,1627141695,749539,12400203
202,1627141695,852967,12450204
203,1627141695,957395,12500205
204,1627141696,61904,12550206
205,1627141696,166236,12600207
206,1627141696,272348,12650208
207,1627141696,376424,12700209
208,1627141696,479887,12750210
209,1627141696,584163,12800211
210,1627141696,688749,12850212
211,1627141696,793143,12900213
212,1627141696,897751,12950214
213,1627141697,2123,13000215
214,1627141697,106386,13050216
215,1627141697,211063,13100217
216,1627141697,315771,13150218
217,1627141697,420376,13200219
218,1627141697,524631,13250220
219,1627141697,629179,13300221
220,1627141697,733739,13350222
221,1627141697,837886,13400223
222,1627141697,942593,13450224
223,1627141698,46997,13500225
224,1627141698,151522,13550226
225,1627141698,256037,13600227
226,1627141698,360709,13650228
227,1627141698,465029,13700229
228,1627141698,569558,13750230
229,1627141698,674113,13800231
230,1627141698,778565,13850232
231,1627141698,883940,13900233
232,1627141698,987576,13950234
233,1627141699,91882,14000235
234,1627141699,196455,14050236
235,1627141699,301096,14100237
236,1627141699,405375,14150238
237,1627141699,509845,14200239
238,1627141699,614428,14250240
239,1627141699,718848,14300241
240,1627141699,823449,14350242
241,1627141699,927880,14400243
242,1627141700,32337,14450244
243,1627141700,136756,14500245
244,1627141700,241469,14550246
245,1627141700,343802,14600247
246,1627141700,446005,14650248
247,1627141700,548554,14700249
248,1627141700,651974,14750250
249,1627141700,752264,14800251
250,1627141700,856582,14850252
251,1627141700,961333,14900253
252,1627141701,65102,14950254
253,1627141701,170167,15000255
254,1627141701,274591,15050256
255,1627141701,379087,15100257
256,1627141701,483644,15150258
257,1627141701,588128,15200259
258,1627141701,693158,15250260
259,1627141701,795131,15300261
260,1627141701,900215,15350262
261,1627141702,2047,15400263
262,1627141702,103826,15450264
263,1627141702,203890,15500265
264,1627141702,308008,15550266
265,1627141702,412867,15600267
266,1627141702,513142,15650268
267,1627141702,615508,15700269
268,1627141702,719705,15750270
269,1627141702,820189,15800271
270,1627141702,923570,15850272
271,1627141703,26704,15900273
272,1627141703,127382,15950274
273,1627141703,235527,16000275
274,1627141703,339938,16050276
275,1627141703,442770,16100277
276,1627141703,545844,16150278
277,1627141703,647000,16200279
278,1627141703,753017,16250280
279,1627141703,856432,16300281
280,1627141703,959067,16350282
281,1627141704,62085,16400283
282,1627141704,162854,16450284
283,1627141704,269248,16500285
284,1627141704,369607,16550286
285,1627141704,469768,16600287
286,1627141704,570791,16650288
287,1627141704,673079,16700289
288,1627141704,780117,16750290
289,1627141704,881453,16800291
290,1627141704,984120,16850292
291,1627141705,93380,16900293
292,1627141705,194852,16950294
293,1627141705,295723,17000295
294,1627141705,399163,17050296
295,1627141705,503568,17100297
296,1627141705,605211,17150298
297,1627141705,709550,17200299
298,1627141705,814108,17250300
299,1627141705,918666,17300301
300,1627141706,23245,17350302
301,1627141706,127551,17400303
302,1627141706,231443,17450304
303,1627141706,336671,17500305
304,1627141706,441635,17550306
305,1627141706,545254,17600307
306,1627141706,649971,17650308
307,1627141706,753704,17700309
308,1627141706,858161,17750310
309,1627141706,962235,17800311
310,1627141707,67426,17850312
311,1627141707,172437,17900313
312,1627141707,277228,17950314
313,1627141707,381535,18000315
314,1627141707,485889,18050316
315,1627141707,590577,18100317
316,1627141707,695155,18150318
317,1627141707,799362,18200319
318,1627141707,904016,18250320
319,1627141708,9046,18300321
320,1627141708,113029,18350322
321,1627141708,217391,18400323
322,1627141708,321036,18450324
323,1627141708,422155,18500325
324,1627141708,522645,18550326
325,1627141708,625108,18600327
326,1627141708,728667,18650328
327,1627141708,832649,18700329
328,1627141708,937198,18750330
329,1627141709,41763,18800331
330,1627141709,146595,18850332
331,1627141709,250655,18900333
332,1627141709,355155,18950334
333,1627141709,459691,19000335
334,1627141709,564109,19050336
335,1627141709,668684,19100337
336,1627141709,777300,19150338
337,1627141709,877782,19200339
338,1627141709,982157,19250340
339,1627141710,86551,19300341
340,1627141710,191104,19350342
341,1627141710,295698,19400343
342,1627141710,400023,19450344
343,1627141710,504385,19500345
344,1627141710,605948,19550346
345,1627141710,709322,19600347
346,1627141710,814516,19650348
347,1627141710,918202,19700349
348,1627141711,22363,19750350
349,1627141711,126169,19800351
350,1627141711,226446,19850352
351,1627141711,328895,19900353
352,1627141711,433401,19950354
353,1627141711,537797,20000355
354,1627141711,642408,20050356
355,1627141711,746892,20100357
356,1627141711,851281,20150358
357,1627141711,955855,20200359
358,1627141712,60521,20250360
359,1627141712,164828,20300361
360,1627141712,265978,20350362
361,1627141712,371143,20400363
362,1627141712,473739,20450364
363,1627141712,574564,20500365
364,1627141712,675889,20550366
365,1627141712,781977,20600367
366,1627141712,885155,20650368
367,1627141712,989185,20700369
368,1627141713,93765,20750370
369,1627141713,198110,20800371
370,1627141713,298451,20850372
371,1627141713,400157,20900373
372,1627141713,503598,20950374
373,1627141713,608038,21000375
374,1627141713,709383,21050376
375,1627141713,809475,21100377
376,1627141713,911542,21150378
377,1627141714,12392,21200379
378,1627141714,115757,21250380
379,1627141714,217462,21300381
380,1627141714,317667,21350382
381,1627141714,420863,21400383
382,1627141714,525605,21450384
383,1627141714,626509,21500385
384,1627141714,729338,21550386
385,1627141714,830535,21600387
386,1627141714,932646,21650388
387,1627141715,33048,21700389
388,1627141715,136906,21750390
389,1627141715,241432,21800391
390,1627141715,345868,21850392
391,1627141715,450428,21900393
392,1627141715,554804,21950394
393,1627141715,658740,22000395
394,1627141715,761292,22050396
395,1627141715,863842,22100397
396,1627141715,965784,22150398
397,1627141716,70993,22200399
398,1627141716,175192,22250400
399,1627141716,278417,22300401
