counter,seconds,micro seconds,local clock [us]
0,1627141674,223389,2000001
1,1627141674,327825,2050002
2,1627141674,432272,2100003
3,1627141674,536864,2150004
4,1627141674,641244,2200005
5,1627141674,745873,2250006
6,1627141674,850382,2300007
7,1627141674,954868,2350008
8,1627141675,58390,2400009
9,1627141675,160334,2450010
10,1627141675,263140,2500011
11,1627141675,368125,2550012
12,1627141675,472275,2600013
13,1627141675,572494,2650014
14,1627141675,674724,2700015
15,1627141675,779206,2750016
16,1627141675,883737,2800017
17,1627141675,988039,2850018
18,1627141676,90508,2900019
19,1627141676,191661,2950020
20,1627141676,292308,3000021
21,1627141676,395289,3050022
22,1627141676,498681,3100023
23,1627141676,603475,3150024
24,1627141676,707936,3200025
25,1627141676,812600,3250026
26,1627141676,916965,3300027
27,1627141677,21427,3350028
28,1627141677,124444,3400029
29,1627141677,224657,3450030
30,1627141677,325322,3500031
31,1627141677,428204,3550032
32,1627141677,532249,3600033
33,1627141677,636717,3650034
34,1627141677,741330,3700035
35,1627141677,845630,3750036
36,1627141677,950086,3800037
37,1627141678,54086,3850038
38,1627141678,157939,3900039
39,1627141678,258357,3950040
40,1627141678,358888,4000041
41,1627141678,461053,4050042
42,1627141678,565417,4100043
43,1627141678,670069,4150044
44,1627141678,774680,4200045
45,1627141678,879431,4250046
46,1627141678,983464,4300047
47,1627141679,87988,4350048
48,1627141679,192413,4400049
49,1627141679,297094,4450050
50,1627141679,401359,4500051
51,1627141679,505898,4550052
52,1627141679,610474,4600053
53,1627141679,715288,4650054
54,1627141679,819392,4700055
55,1627141679,923864,4750056
56,1627141680,28814,4800057
57,1627141680,129181,4850058
58,1627141680,231078,4900059
59,1627141680,336316,4950060
60,1627141680,437131,5000061
61,1627141680,537338,5050062
62,1627141680,642182,5100063
63,1627141680,742555,5150064
64,1627141680,843158,5200065
65,1627141680,945253,5250066
66,1627141681,50059,5300067
67,1627141681,154496,5350068
68,1627141681,259153,5400069
69,1627141681,363568,5450070
70,1627141681,467993,5500071
71,1627141681,572456,5550072
72,1627141681,676908,5600073
