counter,seconds,micro seconds,local clock [us]
0,1627141670,171774,50000
1,1627141670,276131,100000
2,1627141670,380374,150000
3,1627141670,480655,200000
4,1627141670,580710,250000
5,1627141670,684612,300000
6,1627141670,786696,350000
7,1627141670,891787,400000
8,1627141670,995863,450000
9,1627141671,100270,500000
10,1627141671,205061,550000
11,1627141671,309246,600000
12,1627141671,413759,650000
13,1627141671,518307,700000
14,1627141671,622718,750000
15,1627141671,727146,800000
16,1627141671,831638,850000
17,1627141671,936255,900000
18,1627141672,42482,950000
19,1627141672,145180,1000000
20,1627141672,249709,1050000
21,1627141672,354144,1100000
22,1627141672,455011,1150000
23,1627141672,555436,1200000
24,1627141672,658766,1250000
25,1627141672,762202,1300000
26,1627141672,865083,1350000
27,1627141672,969562,1400000
28,1627141673,73951,1450000
29,1627141673,178478,1500000
30,1627141673,282947,1550000
31,1627141673,387480,1600000
32,1627141673,491866,1650000
33,1627141673,596511,1700000
34,1627141673,700873,1750000
35,1627141673,805547,1800000
36,1627141673,909934,1850000
37,1627141674,14320,1900000
38,1627141674,118865,1950000
39,1627141674,223363,2000000
40,1627141674,327865,2050000
41,1627141674,432272,2100000
42,1627141674,536909,2150000
43,1627141674,641367,2200000
44,1627141674,745873,2250000
45,1627141674,850404,2300000
46,1627141674,954910,2350000
47,1627141675,58374,2400000
48,1627141675,160271,2450000
49,1627141675,263118,2500000
50,1627141675,368129,2550000
51,1627141675,472288,2600000
52,1627141675,572507,2650000
53,1627141675,674735,2700000
54,1627141675,779341,2750000
55,1627141675,883741,2800000
56,1627141675,988002,2850000
57,1627141676,90509,2900000
58,1627141676,191644,2950000
59,1627141676,292267,3000000
60,1627141676,395040,3050000
61,1627141676,498680,3100000
62,1627141676,603460,3150000
63,1627141676,707887,3200000
64,1627141676,812756,3250000
65,1627141676,916980,3300000
66,1627141677,21469,3350000
67,1627141677,124561,3400000
68,1627141677,224672,3450000
69,1627141677,325318,3500000
70,1627141677,428204,3550000
71,1627141677,532216,3600000
72,1627141677,636759,3650000
73,1627141677,741420,3700000
74,1627141677,845682,3750000
75,1627141677,950086,3800000
76,1627141678,54067,3850000
77,1627141678,157932,3900000
78,1627141678,258332,3950000
79,1627141678,358871,4000000
80,1627141678,461069,4050000
81,1627141678,565417,4100000
82,1627141678,670045,4150000
83,1627141678,774675,4200000
84,1627141678,879431,4250000
85,1627141678,983464,4300000
86,1627141679,88043,4350000
87,1627141679,192439,4400000
88,1627141679,297152,4450000
89,1627141679,401360,4500000
90,1627141679,505840,4550000
91,1627141679,610412,4600000
92,1627141679,715253,4650000
93,1627141679,819414,4700000
94,1627141679,923908,4750000
95,1627141680,28814,4800000
96,1627141680,129175,4850000
97,1627141680,231078,4900000
98,1627141680,336268,4950000
99,1627141680,437106,5000000
100,1627141680,537337,5050000
101,1627141680,642145,5100000
102,1627141680,742555,5150000
103,1627141680,843128,5200000
104,1627141680,945267,5250000
105,1627141681,50090,5300000
106,1627141681,154446,5350000
107,1627141681,259076,5400000
108,1627141681,363609,5450000
109,1627141681,468022,5500000
110,1627141681,572497,5550000
111,1627141681,676947,5600000
112,1627141681,781644,5650000
113,1627141681,885993,5700000
114,1627141681,990511,5750000
115,1627141682,94919,5800000
116,1627141682,195473,5850000
117,1627141682,295847,5900000
118,1627141682,402891,5950000
119,1627141682,503787,6000000
120,1627141682,605853,6050000
121,1627141682,710735,6100000
122,1627141682,815308,6150000
123,1627141682,919298,6200000
124,1627141683,23922,6250000
125,1627141683,130641,6300000
126,1627141683,230877,6350000
127,1627141683,334877,6400000
128,1627141683,435349,6450000
129,1627141683,537688,6500000
130,1627141683,638916,6550000
131,1627141683,743899,6600000
132,1627141683,848074,6650000
133,1627141683,952536,6700000
134,1627141684,57026,6750000
135,1627141684,161450,6800000
136,1627141684,266079,6850000
137,1627141684,370524,6900000
138,1627141684,475013,6950000
139,1627141684,579519,7000000
140,1627141684,681778,7050000
141,1627141684,784604,7100000
142,1627141684,886300,7150000
143,1627141684,988278,7200000
144,1627141685,93251,7250000
145,1627141685,197188,7300000
146,1627141685,299679,7350000
147,1627141685,403814,7400000
148,1627141685,508278,7450000
149,1627141685,610348,7500000
150,1627141685,712851,7550000
151,1627141685,815261,7600000
152,1627141685,917581,7650000
153,1627141686,19196,7700000
154,1627141686,123694,7750000
155,1627141686,228182,7800000
156,1627141686,332756,7850000
157,1627141686,437608,7900000
158,1627141686,542986,7950000
159,1627141686,647049,8000000
160,1627141686,750336,8050000
161,1627141686,855119,8100000
162,1627141686,959578,8150000
163,1627141687,64008,8200000
164,1627141687,168426,8250000
165,1627141687,272927,8300000
166,1627141687,377532,8350000
167,1627141687,482019,8400000
168,1627141687,583010,8450000
169,1627141687,683944,8500000
170,1627141687,787242,8550000
171,1627141687,888271,8600000
172,1627141687,992789,8650000
173,1627141688,98396,8700000
174,1627141688,202746,8750000
175,1627141688,306273,8800000
176,1627141688,410859,8850000
177,1627141688,515245,8900000
178,1627141688,617841,8950000
179,1627141688,722975,9000000
180,1627141688,824062,9050000
181,1627141688,927098,9100000
182,1627141689,30188,9150000
183,1627141689,130630,9200000
184,1627141689,235391,9250000
185,1627141689,336703,9300000
186,1627141689,439495,9350000
187,1627141689,543182,9400000
188,1627141689,646543,9450000
189,1627141689,749536,9500000
190,1627141689,854418,9550000
191,1627141689,956365,9600000
192,1627141690,56503,9650000
193,1627141690,158227,9700000
194,1627141690,261222,9750000
195,1627141690,364088,9800000
196,1627141690,465733,9850000
197,1627141690,570280,9900000
198,1627141690,674758,9950000
199,1627141690,779347,10000000
200,1627141690,883961,10050000
201,1627141690,988228,10100000
202,1627141691,93339,10150000
203,1627141691,197508,10200000
204,1627141691,302237,10250000
205,1627141691,406281,10300000
