counter,seconds,micro seconds,local clock [ns]
0,1627158620,670513,1850003
1,1627158620,872888,1900004
2,1627158621,76177,1950005
3,1627158621,277317,2000006
4,1627158621,481875,2050007
5,1627158621,687034,2100008
6,1627158621,892226,2150009
7,1627158622,97418,2200010
8,1627158622,302614,2250011
9,1627158622,507774,2300012
10,1627158622,710568,2350013
11,1627158622,915698,2400014
12,1627158623,116827,2450015
13,1627158623,317395,2500016
14,1627158623,518724,2550017
15,1627158623,719985,2600018
16,1627158623,920150,2650019
17,1627158624,125332,2700020
18,1627158624,330038,2750021
19,1627158624,530729,2800022
20,1627158624,733748,2850023
21,1627158624,938928,2900024
22,1627158625,144119,2950025
23,1627158625,349411,3000026
24,1627158625,554511,3050027
25,1627158625,759682,3100028
26,1627158625,960172,3150029
27,1627158626,165381,3200030
28,1627158626,370523,3250031
29,1627158626,571731,3300032
30,1627158626,772951,3350033
31,1627158626,977319,3400034
32,1627158627,177565,3450035
33,1627158627,380219,3500036
34,1627158627,583135,3550037
35,1627158627,787316,3600038
36,1627158627,988419,3650039
37,1627158628,193584,3700040
38,1627158628,398777,3750041
39,1627158628,599886,3800042
40,1627158628,801008,3850043
41,1627158629,2143,3900044
42,1627158629,207330,3950045
43,1627158629,412519,4000046
44,1627158629,617664,4050047
45,1627158629,821264,4100048
46,1627158630,23565,4150049
47,1627158630,225243,4200050
48,1627158630,427038,4250051
49,1627158630,629490,4300052
50,1627158630,833597,4350053
51,1627158631,34346,4400054
52,1627158631,235557,4450055
53,1627158631,438006,4500056
54,1627158631,639543,4550057
55,1627158631,841463,4600058
56,1627158632,43918,4650059
57,1627158632,248244,4700060
58,1627158632,453425,4750061
59,1627158632,658603,4800062
60,1627158632,863769,4850063
61,1627158633,68939,4900064
62,1627158633,274140,4950065
63,1627158633,476972,5000066
64,1627158633,681449,5050067
65,1627158633,886356,5100068
66,1627158634,91541,5150069
67,1627158634,296712,5200070
68,1627158634,501913,5250071
69,1627158634,707126,5300072
70,1627158634,912285,5350073
71,1627158635,117463,5400074
72,1627158635,322656,5450075
73,1627158635,527335,5500076
74,1627158635,732516,5550077
75,1627158635,937680,5600078
76,1627158636,142870,5650079
77,1627158636,348108,5700080
78,1627158636,553365,5750081
79,1627158636,758565,5800082
80,1627158636,962936,5850083
81,1627158637,168179,5900084
82,1627158637,373377,5950085
83,1627158637,578304,6000086
84,1627158637,778833,6050087
85,1627158637,984005,6100088
86,1627158638,188836,6150089
87,1627158638,392264,6200090
88,1627158638,596713,6250091
89,1627158638,801893,6300092
90,1627158639,3802,6350093
91,1627158639,209080,6400094
92,1627158639,409448,6450095
93,1627158639,614654,6500096
94,1627158639,816577,6550097
95,1627158640,16936,6600098
96,1627158640,222158,6650099
97,1627158640,426858,6700100
98,1627158640,629324,6750101
99,1627158640,831844,6800102
100,1627158641,34441,6850103
101,1627158641,236973,6900104
102,1627158641,439453,6950105
103,1627158641,641915,7000106
104,1627158641,844338,7050107
105,1627158642,44959,7100108
106,1627158642,248714,7150109
107,1627158642,451178,7200110
108,1627158642,653565,7250111
109,1627158642,856064,7300112
110,1627158643,58335,7350113
111,1627158643,260768,7400114
112,1627158643,463217,7450115
113,1627158643,665697,7500116
114,1627158643,868308,7550117
115,1627158644,72062,7600118
116,1627158644,275697,7650119
117,1627158644,479934,7700120
118,1627158644,685143,7750121
119,1627158644,885966,7800122
120,1627158645,91147,7850123
121,1627158645,296316,7900124
122,1627158645,497482,7950125
123,1627158645,702673,8000126
124,1627158645,907861,8050127
125,1627158646,110835,8100128
126,1627158646,316038,8150129
127,1627158646,518737,8200130
128,1627158646,723968,8250131
129,1627158646,927344,8300132
130,1627158647,132579,8350133
131,1627158647,337819,8400134
132,1627158647,543037,8450135
133,1627158647,747602,8500136
134,1627158647,951774,8550137
135,1627158648,156969,8600138
136,1627158648,359015,8650139
137,1627158648,564251,8700140
138,1627158648,769466,8750141
139,1627158648,970897,8800142
140,1627158649,175124,8850143
141,1627158649,380357,8900144
142,1627158649,585596,8950145
143,1627158649,790268,9000146
144,1627158649,995490,9050147
145,1627158650,200733,9100148
146,1627158650,405968,9150149
147,1627158650,611200,9200150
148,1627158650,814759,9250151
149,1627158651,19933,9300152
150,1627158651,220371,9350153
151,1627158651,425592,9400154
152,1627158651,627380,9450155
153,1627158651,832437,9500156
154,1627158652,37625,9550157
155,1627158652,242882,9600158
156,1627158652,448081,9650159
