counter,seconds,micro seconds,local clock [ns]
0,1627176058,476410,2100004
1,1627176058,679064,2150005
2,1627176058,882706,2200006
3,1627176059,87507,2250007
4,1627176059,294980,2300008
5,1627176059,498335,2350009
6,1627176059,699699,2400010
7,1627176059,903412,2450011
8,1627176060,104710,2500012
9,1627176060,309651,2550013
10,1627176060,513721,2600014
11,1627176060,716852,2650015
12,1627176060,919719,2700016
13,1627176061,123623,2750017
14,1627176061,326574,2800018
15,1627176061,530036,2850019
16,1627176061,732470,2900020
17,1627176061,936268,2950021
18,1627176062,140833,3000022
19,1627176062,343816,3050023
20,1627176062,548772,3100024
21,1627176062,753753,3150025
22,1627176062,958174,3200026
23,1627176063,162837,3250027
24,1627176063,365241,3300028
25,1627176063,565897,3350029
26,1627176063,771169,3400030
27,1627176063,972110,3450031
28,1627176064,172856,3500032
29,1627176064,375699,3550033
30,1627176064,576491,3600034
31,1627176064,780894,3650035
32,1627176064,984198,3700036
33,1627176065,187221,3750037
34,1627176065,388519,3800038
35,1627176065,593463,3850039
36,1627176065,796222,3900040
37,1627176065,999876,3950041
38,1627176066,204757,4000042
39,1627176066,404999,4050043
40,1627176066,608437,4100044
41,1627176066,813643,4150045
42,1627176067,13748,4200046
43,1627176067,214577,4250047
44,1627176067,415368,4300048
45,1627176067,617046,4350049
46,1627176067,818605,4400050
47,1627176068,20323,4450051
48,1627176068,224888,4500052
49,1627176068,429727,4550053
50,1627176068,633287,4600054
51,1627176068,837635,4650055
52,1627176069,41669,4700056
53,1627176069,243546,4750057
54,1627176069,444034,4800058
55,1627176069,644198,4850059
56,1627176069,845109,4900060
57,1627176070,49672,4950061
58,1627176070,250764,5000062
59,1627176070,453892,5050063
60,1627176070,655552,5100064
61,1627176070,859572,5150065
62,1627176071,63441,5200066
63,1627176071,266792,5250067
64,1627176071,470271,5300068
65,1627176071,673120,5350069
66,1627176071,875917,5400070
67,1627176072,80719,5450071
68,1627176072,282166,5500072
69,1627176072,485950,5550073
70,1627176072,688020,5600074
71,1627176072,888252,5650075
72,1627176073,89897,5700076
73,1627176073,293492,5750077
74,1627176073,495444,5800078
75,1627176073,699755,5850079
76,1627176073,914515,5900080
77,1627176074,119165,5950081
78,1627176074,324264,6000082
79,1627176074,525284,6050083
80,1627176074,727019,6100084
81,1627176074,930581,6150085
82,1627176075,133922,6200086
83,1627176075,337358,6250087
84,1627176075,537413,6300088
85,1627176075,740697,6350089
86,1627176075,944600,6400090
87,1627176076,148729,6450091
88,1627176076,352875,6500092
89,1627176076,553400,6550093
90,1627176076,755123,6600094
91,1627176076,959828,6650095
92,1627176077,162613,6700096
93,1627176077,366045,6750097
94,1627176077,568860,6800098
95,1627176077,772414,6850099
96,1627176077,977132,6900100
97,1627176078,180460,6950101
98,1627176078,384283,7000102
99,1627176078,585215,7050103
100,1627176078,785267,7100104
101,1627176078,988607,7150105
102,1627176079,193124,7200106
103,1627176079,398864,7250107
104,1627176079,600926,7300108
105,1627176079,804171,7350109
106,1627176080,6493,7400110
107,1627176080,212850,7450111
108,1627176080,413395,7500112
109,1627176080,616869,7550113
110,1627176080,819091,7600114
111,1627176081,23286,7650115
112,1627176081,226818,7700116
113,1627176081,429631,7750117
114,1627176081,631063,7800118
115,1627176081,835905,7850119
116,1627176082,36470,7900120
117,1627176082,237296,7950121
118,1627176082,439642,8000122
119,1627176082,643096,8050123
120,1627176082,847462,8100124
121,1627176083,48351,8150125
122,1627176083,248445,8200126
123,1627176083,449730,8250127
124,1627176083,652861,8300128
125,1627176083,856166,8350129
126,1627176084,60428,8400130
127,1627176084,262713,8450131
128,1627176084,463109,8500132
129,1627176084,663779,8550133
130,1627176084,866057,8600134
131,1627176085,66114,8650135
132,1627176085,276060,8700136
133,1627176085,477347,8750137
134,1627176085,679937,8800138
135,1627176085,880706,8850139
136,1627176086,85113,8900140
137,1627176086,285171,8950141
138,1627176086,485314,9000142
139,1627176086,689037,9050143
140,1627176086,889724,9100144
141,1627176087,92991,9150145
142,1627176087,296836,9200146
143,1627176087,501575,9250147
144,1627176087,701884,9300148
145,1627176087,902270,9350149
146,1627176088,105259,9400150
147,1627176088,307635,9450151
148,1627176088,511638,9500152
149,1627176088,713650,9550153
150,1627176088,917941,9600154
151,1627176089,120028,9650155
152,1627176089,324271,9700156
153,1627176089,525283,9750157
154,1627176089,728836,9800158
155,1627176089,929491,9850159
156,1627176090,133679,9900160
157,1627176090,333724,9950161
158,1627176090,533805,10000162
159,1627176090,735010,10050163
160,1627176090,938185,10100164
161,1627176091,139546,10150165
162,1627176091,344921,10200166
163,1627176091,545822,10250167
164,1627176091,751462,10300168
165,1627176091,952055,10350169
166,1627176092,156384,10400170
167,1627176092,359503,10450171
168,1627176092,563508,10500172
169,1627176092,767900,10550173
170,1627176092,970620,10600174
171,1627176093,171033,10650175
172,1627176093,374273,10700176
173,1627176093,576156,10750177
174,1627176093,776702,10800178
175,1627176093,980826,10850179
176,1627176094,185361,10900180
177,1627176094,386456,10950181
178,1627176094,587143,11000182
179,1627176094,790365,11050183
180,1627176094,993459,11100184
181,1627176095,193544,11150185
182,1627176095,396366,11200186
183,1627176095,598167,11250187
184,1627176095,802993,11300188
185,1627176096,3204,11350189
186,1627176096,203797,11400190
187,1627176096,406434,11450191
188,1627176096,609798,11500192
189,1627176096,814481,11550193
190,1627176097,18324,11600194
191,1627176097,220227,11650195
192,1627176097,422209,11700196
193,1627176097,625574,11750197
194,1627176097,826452,11800198
195,1627176098,31491,11850199
196,1627176098,233574,11900200
197,1627176098,438785,11950201
198,1627176098,642334,12000202
199,1627176098,844406,12050203
200,1627176099,45787,12100204
201,1627176099,250890,12150205
202,1627176099,452743,12200206
203,1627176099,657232,12250207
204,1627176099,859218,12300208
205,1627176100,63559,12350209
206,1627176100,265480,12400210
207,1627176100,467027,12450211
208,1627176100,667683,12500212
209,1627176100,867984,12550213
210,1627176101,69378,12600214
211,1627176101,271980,12650215
212,1627176101,476371,12700216
213,1627176101,678414,12750217
214,1627176101,879550,12800218
215,1627176102,82261,12850219
216,1627176102,285908,12900220
217,1627176102,490056,12950221
218,1627176102,693791,13000222
219,1627176102,895362,13050223
220,1627176103,99064,13100224
221,1627176103,302920,13150225
222,1627176103,505014,13200226
223,1627176103,709423,13250227
224,1627176103,911566,13300228
225,1627176104,115504,13350229
226,1627176104,318854,13400230
227,1627176104,521877,13450231
228,1627176104,726773,13500232
229,1627176104,927274,13550233
230,1627176105,130568,13600234
231,1627176105,334501,13650235
232,1627176105,537832,13700236
233,1627176105,740926,13750237
234,1627176105,943742,13800238
235,1627176106,148125,13850239
236,1627176106,350455,13900240
237,1627176106,553571,13950241
238,1627176106,755727,14000242
239,1627176106,959838,14050243
240,1627176107,160502,14100244
241,1627176107,360789,14150245
