counter,seconds,micro seconds,local clock [ns]
0,1627176050,136521,50000
1,1627176050,337946,100000
2,1627176050,542894,150000
3,1627176050,744423,200000
4,1627176050,956519,250000
5,1627176051,159539,300000
6,1627176051,362119,350000
7,1627176051,567056,400000
8,1627176051,776127,450000
9,1627176051,976250,500000
10,1627176052,176509,550000
11,1627176052,381286,600000
12,1627176052,581414,650000
13,1627176052,783303,700000
14,1627176052,985211,750000
15,1627176053,185494,800000
16,1627176053,386669,850000
17,1627176053,589071,900000
18,1627176053,793833,950000
19,1627176053,997038,1000000
20,1627176054,205108,1050000
21,1627176054,405268,1100000
22,1627176054,610261,1150000
23,1627176054,815275,1200000
24,1627176055,16933,1250000
25,1627176055,222046,1300000
26,1627176055,426330,1350000
27,1627176055,631486,1400000
28,1627176055,836680,1450000
29,1627176056,38549,1500000
30,1627176056,241179,1550000
31,1627176056,444982,1600000
32,1627176056,648586,1650000
33,1627176056,851717,1700000
34,1627176057,52790,1750000
35,1627176057,257565,1800000
36,1627176057,458673,1850000
37,1627176057,658955,1900000
38,1627176057,861438,1950000
39,1627176058,61790,2000000
40,1627176058,265090,2050000
41,1627176058,468471,2100000
42,1627176058,673228,2150000
43,1627176058,877171,2200000
44,1627176059,80395,2250000
45,1627176059,285099,2300000
46,1627176059,486720,2350000
47,1627176059,688100,2400000
48,1627176059,893202,2450000
49,1627176060,97435,2500000
50,1627176060,299580,2550000
51,1627176060,501446,2600000
52,1627176060,705807,2650000
53,1627176060,910946,2700000
54,1627176061,112209,2750000
55,1627176061,315259,2800000
56,1627176061,518486,2850000
57,1627176061,722610,2900000
58,1627176061,924940,2950000
59,1627176062,129961,3000000
60,1627176062,331314,3050000
61,1627176062,532128,3100000
62,1627176062,737305,3150000
63,1627176062,937384,3200000
64,1627176063,142600,3250000
65,1627176063,347707,3300000
66,1627176063,550251,3350000
67,1627176063,754938,3400000
68,1627176063,956139,3450000
69,1627176064,161352,3500000
70,1627176064,362971,3550000
71,1627176064,563874,3600000
72,1627176064,769007,3650000
73,1627176064,973394,3700000
74,1627176065,175660,3750000
75,1627176065,378084,3800000
76,1627176065,581918,3850000
77,1627176065,786327,3900000
78,1627176065,989322,3950000
79,1627176066,193289,4000000
80,1627176066,394753,4050000
81,1627176066,595608,4100000
82,1627176066,796888,4150000
83,1627176066,998321,4200000
84,1627176067,202925,4250000
85,1627176067,405582,4300000
86,1627176067,609720,4350000
87,1627176067,811102,4400000
88,1627176068,13316,4450000
89,1627176068,217400,4500000
90,1627176068,422321,4550000
91,1627176068,625761,4600000
92,1627176068,830239,4650000
93,1627176069,30674,4700000
94,1627176069,231029,4750000
95,1627176069,433801,4800000
96,1627176069,633963,4850000
97,1627176069,834141,4900000
98,1627176070,37077,4950000
99,1627176070,237509,5000000
100,1627176070,438042,5050000
101,1627176070,639219,5100000
102,1627176070,841465,5150000
103,1627176071,44907,5200000
104,1627176071,247709,5250000
105,1627176071,452908,5300000
106,1627176071,653696,5350000
107,1627176071,858935,5400000
108,1627176072,60360,5450000
109,1627176072,263608,5500000
110,1627176072,466895,5550000
111,1627176072,667490,5600000
112,1627176072,869322,5650000
113,1627176073,70467,5700000
114,1627176073,273452,5750000
115,1627176073,477473,5800000
116,1627176073,681379,5850000
117,1627176073,885008,5900000
118,1627176074,88377,5950000
119,1627176074,289554,6000000
120,1627176074,494659,6050000
121,1627176074,695820,6100000
122,1627176074,900200,6150000
123,1627176075,102178,6200000
124,1627176075,302585,6250000
125,1627176075,507366,6300000
126,1627176075,709026,6350000
127,1627176075,913660,6400000
128,1627176076,116225,6450000
129,1627176076,316363,6500000
130,1627176076,518826,6550000
131,1627176076,719065,6600000
132,1627176076,919617,6650000
133,1627176077,122263,6700000
134,1627176077,326506,6750000
135,1627176077,528703,6800000
136,1627176077,729132,6850000
137,1627176077,932301,6900000
138,1627176078,133961,6950000
139,1627176078,335594,7000000
140,1627176078,538872,7050000
141,1627176078,743543,7100000
142,1627176078,945563,7150000
143,1627176079,146380,7200000
144,1627176079,351402,7250000
145,1627176079,552301,7300000
146,1627176079,753410,7350000
147,1627176079,955295,7400000
148,1627176080,160247,7450000
149,1627176080,363505,7500000
150,1627176080,568678,7550000
151,1627176080,768901,7600000
152,1627176080,970562,7650000
153,1627176081,174307,7700000
154,1627176081,376357,7750000
155,1627176081,580905,7800000
156,1627176081,781934,7850000
157,1627176081,986604,7900000
158,1627176082,191101,7950000
159,1627176082,393404,8000000
160,1627176082,598081,8050000
161,1627176082,799505,8100000
162,1627176083,729,8150000
163,1627176083,201064,8200000
164,1627176083,403509,8250000
165,1627176083,607697,8300000
166,1627176083,811699,8350000
167,1627176084,16841,8400000
168,1627176084,221889,8450000
169,1627176084,424623,8500000
170,1627176084,627996,8550000
171,1627176084,831319,8600000
172,1627176085,35951,8650000
173,1627176085,237876,8700000
174,1627176085,442273,8750000
175,1627176085,646365,8800000
176,1627176085,851412,8850000
177,1627176086,56503,8900000
178,1627176086,259642,8950000
179,1627176086,460566,9000000
180,1627176086,665686,9050000
181,1627176086,870836,9100000
182,1627176087,72083,9150000
183,1627176087,272461,9200000
184,1627176087,475240,9250000
185,1627176087,675872,9300000
186,1627176087,881050,9350000
187,1627176088,81842,9400000
188,1627176088,287059,9450000
189,1627176088,488556,9500000
190,1627176088,693053,9550000
191,1627176088,895040,9600000
192,1627176089,99692,9650000
193,1627176089,300862,9700000
194,1627176089,506034,9750000
195,1627176089,707695,9800000
196,1627176089,909156,9850000
197,1627176090,113869,9900000
198,1627176090,317194,9950000
199,1627176090,520383,10000000
200,1627176090,724221,10050000
201,1627176090,926638,10100000
202,1627176091,128155,10150000
203,1627176091,332895,10200000
204,1627176091,534450,10250000
205,1627176091,739254,10300000
206,1627176091,942387,10350000
207,1627176092,145506,10400000
208,1627176092,349697,10450000
209,1627176092,552136,10500000
210,1627176092,752300,10550000
211,1627176092,952407,10600000
212,1627176093,157037,10650000
213,1627176093,358832,10700000
214,1627176093,562329,10750000
215,1627176093,762675,10800000
216,1627176093,965483,10850000
217,1627176094,168801,10900000
218,1627176094,369794,10950000
219,1627176094,572072,11000000
220,1627176094,775759,11050000
221,1627176094,978492,11100000
222,1627176095,178945,11150000
223,1627176095,379211,11200000
224,1627176095,582278,11250000
225,1627176095,787220,11300000
226,1627176095,988547,11350000
227,1627176096,192425,11400000
228,1627176096,394850,11450000
229,1627176096,599522,11500000
230,1627176096,803229,11550000
231,1627176097,3477,11600000
232,1627176097,203655,11650000
233,1627176097,404649,11700000
234,1627176097,609847,11750000
235,1627176097,811353,11800000
236,1627176098,16492,11850000
237,1627176098,217727,11900000
238,1627176098,417932,11950000
239,1627176098,620928,12000000
240,1627176098,821457,12050000
241,1627176099,26595,12100000
242,1627176099,227687,12150000
