counter,seconds,micro seconds,local clock [ns]
0,1627160398,946503,50000
1,1627160399,150466,100000
2,1627160399,354645,150000
3,1627160399,554764,200000
4,1627160399,754882,250000
5,1627160399,955771,300000
6,1627160400,156196,350000
7,1627160400,356753,400000
8,1627160400,556945,450000
9,1627160400,758774,500000
10,1627160400,960702,550000
11,1627160401,161060,600000
12,1627160401,361653,650000
13,1627160401,561773,700000
14,1627160401,766571,750000
15,1627160401,967899,800000
16,1627160402,174899,850000
17,1627160402,376024,900000
18,1627160402,577586,950000
19,1627160402,780844,1000000
20,1627160402,985049,1050000
21,1627160403,186477,1100000
22,1627160403,389602,1150000
23,1627160403,594803,1200000
24,1627160403,794977,1250000
25,1627160403,996180,1300000
26,1627160404,197471,1350000
27,1627160404,401121,1400000
28,1627160404,603634,1450000
29,1627160404,803822,1500000
30,1627160405,8976,1550000
31,1627160405,214366,1600000
32,1627160405,418367,1650000
33,1627160405,620186,1700000
34,1627160405,823793,1750000
35,1627160406,27352,1800000
36,1627160406,227548,1850000
37,1627160406,431421,1900000
38,1627160406,632663,1950000
39,1627160406,836407,2000000
40,1627160407,41597,2050000
41,1627160407,246773,2100000
42,1627160407,451988,2150000
43,1627160407,657154,2200000
44,1627160407,857636,2250000
45,1627160408,59494,2300000
46,1627160408,259661,2350000
47,1627160408,463055,2400000
48,1627160408,668265,2450000
49,1627160408,869686,2500000
50,1627160409,75449,2550000
51,1627160409,277790,2600000
52,1627160409,482173,2650000
53,1627160409,687362,2700000
54,1627160409,892095,2750000
55,1627160410,92283,2800000
56,1627160410,294080,2850000
57,1627160410,502930,2900000
58,1627160410,705632,2950000
59,1627160410,906268,3000000
60,1627160411,109663,3050000
61,1627160411,313860,3100000
62,1627160411,518734,3150000
63,1627160411,721961,3200000
64,1627160411,927048,3250000
65,1627160412,130867,3300000
66,1627160412,332964,3350000
67,1627160412,538195,3400000
68,1627160412,739510,3450000
69,1627160412,940533,3500000
70,1627160413,143253,3550000
71,1627160413,348174,3600000
72,1627160413,553341,3650000
73,1627160413,756676,3700000
74,1627160413,957914,3750000
75,1627160414,159157,3800000
76,1627160414,361324,3850000
77,1627160414,566534,3900000
78,1627160414,766911,3950000
79,1627160414,967796,4000000
80,1627160415,172802,4050000
81,1627160415,374399,4100000
82,1627160415,577339,4150000
83,1627160415,777570,4200000
84,1627160415,982702,4250000
85,1627160416,184703,4300000
86,1627160416,389911,4350000
87,1627160416,595218,4400000
88,1627160416,799811,4450000
89,1627160417,4977,4500000
90,1627160417,208349,4550000
91,1627160417,409821,4600000
92,1627160417,615015,4650000
93,1627160417,816901,4700000
94,1627160418,17085,4750000
95,1627160418,220526,4800000
96,1627160418,425662,4850000
97,1627160418,630735,4900000
98,1627160418,831030,4950000
99,1627160419,31129,5000000
100,1627160419,233345,5050000
101,1627160419,435468,5100000
102,1627160419,635703,5150000
103,1627160419,840864,5200000
104,1627160420,43272,5250000
105,1627160420,247654,5300000
106,1627160420,451697,5350000
107,1627160420,655831,5400000
108,1627160420,860726,5450000
109,1627160421,64019,5500000
110,1627160421,265239,5550000
111,1627160421,468251,5600000
112,1627160421,668403,5650000
113,1627160421,873174,5700000
114,1627160422,75428,5750000
115,1627160422,279890,5800000
116,1627160422,481781,5850000
117,1627160422,682459,5900000
118,1627160422,883643,5950000
119,1627160423,87975,6000000
120,1627160423,291004,6050000
121,1627160423,493129,6100000
122,1627160423,693547,6150000
123,1627160423,894364,6200000
124,1627160424,95527,6250000
125,1627160424,299776,6300000
126,1627160424,504260,6350000
127,1627160424,708028,6400000
128,1627160424,912746,6450000
129,1627160425,113414,6500000
130,1627160425,317604,6550000
131,1627160425,517742,6600000
132,1627160425,720857,6650000
133,1627160425,926048,6700000
134,1627160426,129943,6750000
135,1627160426,330051,6800000
136,1627160426,530851,6850000
137,1627160426,731077,6900000
138,1627160426,935091,6950000
139,1627160427,136533,7000000
140,1627160427,338019,7050000
141,1627160427,538798,7100000
142,1627160427,743964,7150000
143,1627160427,945767,7200000
144,1627160428,146439,7250000
145,1627160428,349863,7300000
146,1627160428,550381,7350000
147,1627160428,750739,7400000
148,1627160428,952578,7450000
149,1627160429,157598,7500000
150,1627160429,360618,7550000
151,1627160429,561702,7600000
152,1627160429,761929,7650000
153,1627160429,970281,7700000
154,1627160430,171499,7750000
155,1627160430,371974,7800000
156,1627160430,572408,7850000
157,1627160430,776901,7900000
158,1627160430,978192,7950000
159,1627160431,181098,8000000
160,1627160431,383099,8050000
161,1627160431,583976,8100000
162,1627160431,788737,8150000
163,1627160431,990910,8200000
164,1627160432,191423,8250000
165,1627160432,396582,8300000
166,1627160432,600330,8350000
167,1627160432,805506,8400000
168,1627160433,26382,8450000
169,1627160433,230849,8500000
170,1627160433,431029,8550000
171,1627160433,632426,8600000
172,1627160433,832507,8650000
173,1627160434,35203,8700000
174,1627160434,236193,8750000
175,1627160434,439167,8800000
176,1627160434,639356,8850000
177,1627160434,839476,8900000
178,1627160435,40499,8950000
179,1627160435,240794,9000000
180,1627160435,445961,9050000
181,1627160435,649094,9100000
182,1627160435,850087,9150000
183,1627160436,50553,9200000
184,1627160436,251158,9250000
185,1627160436,451288,9300000
186,1627160436,653899,9350000
187,1627160436,857106,9400000
188,1627160437,62273,9450000
189,1627160437,265390,9500000
190,1627160437,466855,9550000
191,1627160437,667083,9600000
192,1627160437,872245,9650000
193,1627160438,73783,9700000
194,1627160438,274427,9750000
195,1627160438,474785,9800000
196,1627160438,675407,9850000
197,1627160438,880601,9900000
198,1627160439,82436,9950000
199,1627160439,283116,10000000
200,1627160439,487520,10050000
201,1627160439,691597,10100000
202,1627160439,891740,10150000
203,1627160440,96901,10200000
204,1627160440,300241,10250000
205,1627160440,500683,10300000
206,1627160440,702270,10350000
207,1627160440,907438,10400000
208,1627160441,109020,10450000
209,1627160441,309726,10500000
210,1627160441,513688,10550000
211,1627160441,714022,10600000
212,1627160441,919201,10650000
213,1627160442,124337,10700000
214,1627160442,326182,10750000
215,1627160442,526486,10800000
216,1627160442,726841,10850000
217,1627160442,930955,10900000
218,1627160443,134532,10950000
219,1627160443,339720,11000000
220,1627160443,543372,11050000
221,1627160443,747162,11100000
222,1627160443,947209,11150000
223,1627160444,151545,11200000
224,1627160444,353292,11250000
225,1627160444,558483,11300000
226,1627160444,760619,11350000
227,1627160444,960781,11400000
228,1627160445,160876,11450000
229,1627160445,361640,11500000
230,1627160445,561822,11550000
231,1627160445,765903,11600000
232,1627160445,966581,11650000
233,1627160446,171762,11700000
234,1627160446,375863,11750000
235,1627160446,580703,11800000
236,1627160446,781424,11850000
237,1627160446,984780,11900000
238,1627160447,189795,11950000
239,1627160447,390925,12000000
240,1627160447,595099,12050000
241,1627160447,795331,12100000
242,1627160447,995492,12150000
243,1627160448,200340,12200000
244,1627160448,402383,12250000
245,1627160448,603875,12300000
246,1627160448,809084,12350000
247,1627160449,12649,12400000
248,1627160449,213888,12450000
249,1627160449,417155,12500000
250,1627160449,621505,12550000
251,1627160449,826711,12600000
252,1627160450,29981,12650000
253,1627160450,232040,12700000
254,1627160450,432413,12750000
255,1627160450,632776,12800000
256,1627160450,834945,12850000
257,1627160451,38940,12900000
258,1627160451,240872,12950000
259,1627160451,442671,13000000
260,1627160451,643741,13050000
261,1627160451,844100,13100000
262,1627160452,44630,13150000
263,1627160452,248326,13200000
264,1627160452,450173,13250000
265,1627160452,655399,13300000
266,1627160452,856464,13350000
267,1627160453,59963,13400000
268,1627160453,264611,13450000
269,1627160453,469600,13500000
270,1627160453,673522,13550000
271,1627160453,877906,13600000
272,1627160454,78240,13650000
273,1627160454,283185,13700000
274,1627160454,485817,13750000
275,1627160454,686615,13800000
276,1627160454,890908,13850000
277,1627160455,94947,13900000
278,1627160455,295086,13950000
279,1627160455,495598,14000000
280,1627160455,697147,14050000
281,1627160455,897395,14100000
282,1627160456,97548,14150000
283,1627160456,302656,14200000
284,1627160456,504669,14250000
285,1627160456,708058,14300000
286,1627160456,913050,14350000
287,1627160457,113096,14400000
288,1627160457,318280,14450000
289,1627160457,518397,14500000
290,1627160457,719756,14550000
291,1627160457,922109,14600000
292,1627160458,126720,14650000
293,1627160458,327320,14700000
294,1627160458,527527,14750000
295,1627160458,730718,14800000
296,1627160458,930893,14850000
297,1627160459,135672,14900000
298,1627160459,338718,14950000
299,1627160459,541712,15000000
300,1627160459,746895,15050000
301,1627160459,950862,15100000
302,1627160460,155921,15150000
303,1627160460,361173,15200000
304,1627160460,565788,15250000
305,1627160460,770670,15300000
306,1627160460,973095,15350000
307,1627160461,177306,15400000
308,1627160461,380053,15450000
309,1627160461,581685,15500000
310,1627160461,784566,15550000
311,1627160461,988600,15600000
312,1627160462,193789,15650000
313,1627160462,398978,15700000
314,1627160462,600954,15750000
315,1627160462,801345,15800000
316,1627160463,6271,15850000
317,1627160463,211458,15900000
318,1627160463,415793,15950000
319,1627160463,617293,16000000
320,1627160463,819800,16050000
321,1627160464,21062,16100000
322,1627160464,221898,16150000
323,1627160464,424699,16200000
324,1627160464,627306,16250000
325,1627160464,827991,16300000
326,1627160465,34417,16350000
327,1627160465,234644,16400000
328,1627160465,434944,16450000
329,1627160465,635236,16500000
330,1627160465,839476,16550000
331,1627160466,39806,16600000
332,1627160466,239899,16650000
333,1627160466,440079,16700000
334,1627160466,642946,16750000
335,1627160466,844886,16800000
336,1627160467,48172,16850000
337,1627160467,248244,16900000
338,1627160467,451766,16950000
339,1627160467,656845,17000000
340,1627160467,858344,17050000
341,1627160468,58871,17100000
342,1627160468,259136,17150000
343,1627160468,459361,17200000
344,1627160468,660859,17250000
345,1627160468,861106,17300000
346,1627160469,61575,17350000
347,1627160469,266786,17400000
348,1627160469,471954,17450000
349,1627160469,676216,17500000
350,1627160469,879833,17550000
351,1627160470,80526,17600000
352,1627160470,280804,17650000
353,1627160470,483947,17700000
354,1627160470,684470,17750000
355,1627160470,884863,17800000
356,1627160471,85183,17850000
357,1627160471,287431,17900000
358,1627160471,490716,17950000
359,1627160471,692368,18000000
360,1627160471,893968,18050000
